Provider,TotalBeneficiaries,TotalReimbursement,AverageClaimReimbursement,MedianClaimReimbursement,TotalDeductible,AverageClaimDuration,AverageBeneficiaryAge,AverageChronicConditions,AverageDiagnosisCount,AverageProcedureCount,AveragePhysicianCount,AverageReimbursementPerClaimDay,ClaimsPerBeneficiary,ReimbursementPerBeneficiary,InpatientClaims,OutpatientClaims,InpatientClaimRatio,OutpatientClaimRatio,PotentialFraud,ProviderSizeBand,ServiceMixBand,PeerGroup,AverageClaimReimbursement_PeerMean,ClaimsPerBeneficiary_PeerMean,ReimbursementPerBeneficiary_PeerMean,AvgClaimReimbursement_PeerDeviation,ClaimsPerBeneficiary_PeerDeviation,ReimbursementPerBeneficiary_PeerDeviation,AverageClaimReimbursement_PeerZScore,ClaimsPerBeneficiary_PeerZScore,ReimbursementPerBeneficiary_PeerZScore,InpatientTotalReimbursement,InpatientAverageReimbursement,InpatientAverageDuration,InpatientAverageDiagnosisCount,InpatientAverageProcedureCount,InpatientBeneficiaries,InpatientReimbursementShare,OutpatientTotalReimbursement,OutpatientAverageReimbursement,OutpatientAverageDuration,OutpatientAverageDiagnosisCount,OutpatientAverageProcedureCount,OutpatientBeneficiaries,OutpatientReimbursementShare,UniquePhysicians,ClaimsPerUniquePhysician,PhysicianDiversityRatio,RepeatBeneficiaries,RepeatBeneficiaryRate,AverageClaimReimbursement_PeerDeviation_clean,AverageClaimReimbursement_PeerZScore_clean,ClaimsPerBeneficiary_PeerDeviation_clean,ClaimsPerBeneficiary_PeerZScore_clean,ReimbursementPerBeneficiary_PeerDeviation_clean,ReimbursementPerBeneficiary_PeerZScore_clean,FraudProbability,PredictedFraud,RiskTier,TotalClaims,HighRiskClaims,VeryHighRiskClaims,AverageCombinedRisk,MaximumCombinedRisk,AverageClaimAnomalyScore,HighRiskClaimRate,AverageClaimReimbursement_PeerDeviation_WasteRisk,ClaimsPerBeneficiary_PeerDeviation_WasteRisk,ReimbursementPerBeneficiary_PeerDeviation_WasteRisk,AverageClaimReimbursement_PeerDeviation_WasteRisk_Normalized,ClaimsPerBeneficiary_PeerDeviation_WasteRisk_Normalized,ReimbursementPerBeneficiary_PeerDeviation_WasteRisk_Normalized,WasteRiskScore,Abuse_RepeatBeneficiaryRisk,Abuse_ProcedureComplexityRisk,Abuse_DiagnosisComplexityRisk,Abuse_PhysicianUtilizationRisk,Abuse_RepeatBeneficiaryRisk_Normalized,Abuse_ProcedureComplexityRisk_Normalized,Abuse_DiagnosisComplexityRisk_Normalized,Abuse_PhysicianUtilizationRisk_Normalized,AbuseRiskScore,FraudRiskScore,OverallFWAScore,FWARiskLevel,AnomalousClaims,MaximumClaimAnomalyScore,AnomalousClaimsNormalized,MaximumAnomalyNormalized,InvestigationPriorityScore,InvestigationPriority
PRV51001,24,104640,4185.6,400.0,5340.0,1.44,78.204,5.44,3.2,0.12,1.6,985.6,1.0416666666666667,4360.0,5,20,0.2,0.8,No,Medium,Mostly_Outpatient,Medium_Mostly_Outpatient,627.3380647119785,1.3366606123235987,783.2164586353032,5.672000689009171,-0.2206947245524995,4.566788021279555,4.509347506516567,-0.5780181638264007,3.804509541558384,97000.0,19400.0,5.0,7.2,0.6,5.0,0.9269877675840978,7640.0,382.0,0.55,2.2,0.0,19.0,0.07301223241590214,19,1.3157894736842106,0.76,1,0.041666666666666664,5.672000689009171,4.509347506516567,-0.2206947245524995,-0.5780181638264007,4.566788021279555,3.804509541558384,0.046323996,0,Low Risk,25,0,0,0.13011200693621214,0.38080756906773533,-0.04687371375577701,0.0,5.672000689009171,0.0,4.566788021279555,0.2524293651830597,0.0,0.2256985499234123,15.937597170215733,0.041666666666666664,0.12,3.2,1.3157894736842106,0.041666666666666664,0.04,0.32,0.0008348472037942955,10.062537846761524,4.6323996,8.816233533754811,Low,5,0.20919205926163442,0.006711409395973154,0.8742642559806345,15.048234221354177,Low
PRV51003,117,605670,4588.409090909091,1750.0,66286.0,3.6742424242424243,69.53863636363637,6.454545454545454,5.25,0.36363636363636365,1.5303030303030303,1181.826449013949,1.1282051282051282,5176.666666666667,62,70,0.4696969696969697,0.5303030303030303,Yes,Large,Mixed,Large_Mixed,4489.427780084256,1.1453009977062616,5129.623634714495,0.022047645195214117,-0.014926966391692624,0.009170854491898861,0.06658285167422097,-0.15013623839039708,0.027304030235990685,573000.0,9241.935483870968,5.161290322580645,8.112903225806452,0.7741935483870968,53.0,0.9460597354995295,32670.0,466.7142857142857,2.357142857142857,2.7142857142857144,0.0,66.0,0.053940264500470556,51,2.588235294117647,0.38636363636363635,14,0.11965811965811966,0.022047645195214117,0.06658285167422097,-0.014926966391692624,-0.15013623839039708,0.009170854491898861,0.027304030235990685,0.9817691,1,Very High Risk,132,132,46,0.7406947540744746,0.9386021315195101,0.003498335628096155,1.0,0.022047645195214117,0.0,0.009170854491898861,0.0009812186890586318,0.0,0.0004532394651854763,0.04781527180813694,0.11965811965811966,0.36363636363636365,5.25,2.588235294117647,0.11965811965811966,0.12121212121212122,0.525,0.001916114643162327,19.194658887835082,98.17691,53.89907374010612,Medium,67,0.20564513535774043,0.08993288590604027,0.8649718194980834,48.177727531175925,Medium
PRV51004,138,52170,350.13422818791946,70.0,310.0,1.429530201342282,71.73825503355705,6.657718120805369,2.5838926174496644,0.0,1.604026845637584,248.62926946720864,1.0797101449275361,378.04347826086956,0,149,0.0,1.0,No,Large,Mostly_Outpatient,Large_Mostly_Outpatient,640.2087346374287,1.6416795960244297,963.3370085589396,-0.4530936408010553,-0.3423137209342102,-0.6075688207739609,-0.47590752475802195,-0.9403639478200623,-0.7023528046638775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52170.0,350.13422818791946,1.429530201342282,2.5838926174496644,0.0,138.0,1.0,48,3.1041666666666665,0.3221476510067114,8,0.057971014492753624,-0.4530936408010553,-0.47590752475802195,-0.3423137209342102,-0.9403639478200623,-0.6075688207739609,-0.7023528046638775,0.004469532,0,Low Risk,149,0,0,0.07164430315446174,0.27278434292721554,-0.08094324467735779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057971014492753624,0.0,2.5838926174496644,3.1041666666666665,0.057971014492753624,0.0,0.25838926174496646,0.0023545300044510984,7.967870156054278,0.4469532,2.2154441426407745,Low,17,0.12450546502952486,0.022818791946308724,0.6523974161080587,8.531160899855305,Low
PRV51005,495,280910,241.1244635193133,70.0,3700.0,1.088412017167382,70.02763948497854,6.664377682403433,2.5888412017167384,0.0,1.5991416309012876,193.73858636218586,2.3535353535353534,567.4949494949495,0,1165,0.0,1.0,Yes,Large,Mostly_Outpatient,Large_Mostly_Outpatient,640.2087346374287,1.6416795960244297,963.3370085589396,-0.6233658641726124,0.43361430527295813,-0.41090714417390867,-0.6547531872496374,1.1911741627677837,-0.4750108552300778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280910.0,241.1244635193133,1.088412017167382,2.5888412017167384,0.0,495.0,1.0,7,166.42857142857142,0.006008583690987125,223,0.4505050505050505,-0.6233658641726124,-0.6547531872496374,0.43361430527295813,1.1911741627677837,-0.41090714417390867,-0.4750108552300778,0.10221462,0,Low Risk,1165,0,0,0.12391775891434119,0.35217281878270656,-0.08745337238633583,0.0,0.0,0.43361430527295813,0.0,0.0,0.055085671104300286,0.0,1.8361890368100093,0.4505050505050505,0.0,2.5888412017167384,166.42857142857142,0.4505050505050505,0.0,0.25888412017167384,0.14114029053534574,21.26323653030175,10.221462,10.88558751665587,Low,96,0.14569119488631732,0.12885906040268458,0.7079010170775073,17.276102640487874,Low
PRV51007,58,33710,468.19444444444446,80.0,3264.0,0.9583333333333334,68.79166666666667,6.833333333333333,2.986111111111111,0.013888888888888888,1.5277777777777777,235.55555555555554,1.2413793103448276,581.2068965517242,3,69,0.041666666666666664,0.9583333333333334,No,Large,Mostly_Outpatient,Large_Mostly_Outpatient,640.2087346374287,1.6416795960244297,963.3370085589396,-0.2686846974844878,-0.24383581707964727,-0.39667334340123156,-0.2822133391546437,-0.6698370458045886,-0.4585565054479715,19000.0,6333.333333333333,5.333333333333333,7.333333333333333,0.3333333333333333,3.0,0.5636309700385642,14710.0,213.18840579710144,0.7681159420289855,2.7971014492753623,0.0,56.0,0.4363690299614358,11,6.545454545454546,0.1527777777777778,11,0.1896551724137931,-0.2686846974844878,-0.2822133391546437,-0.24383581707964727,-0.6698370458045886,-0.39667334340123156,-0.4585565054479715,0.044230852,0,Low Risk,72,0,0,0.09573823847991879,0.29619618404463655,-0.08070102182076286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1896551724137931,0.013888888888888888,2.986111111111111,6.545454545454546,0.1896551724137931,0.004629629629629629,0.2986111111111111,0.005278782238277241,12.454367384820278,4.423085,5.32513445255883,Low,6,0.12405098237140544,0.008053691275167786,0.6512067361421424,10.400735303715962,Low
PRV51008,36,35630,828.6046511627907,90.0,2316.0,1.5348837209302326,75.14186046511628,7.093023255813954,3.1627906976744184,0.046511627906976744,1.5348837209302326,300.8139534883721,1.1944444444444444,989.7222222222222,2,41,0.046511627906976744,0.9534883720930233,No,Medium,Mostly_Outpatient,Medium_Mostly_Outpatient,627.3380647119785,1.3366606123235987,783.2164586353032,0.3208263578637095,-0.10639661748686619,0.2636637181332221,0.2550630044282019,-0.27866174690763257,0.2196535347658955,25000.0,12500.0,4.0,7.5,1.0,2.0,0.7016559079427449,10630.0,259.2682926829268,1.4146341463414633,2.951219512195122,0.0,34.0,0.2983440920572551,12,3.5833333333333335,0.27906976744186046,7,0.19444444444444445,0.3208263578637095,0.2550630044282019,-0.10639661748686619,-0.27866174690763257,0.2636637181332221,0.2196535347658955,0.007550281,0,Low Risk,43,0,0,0.07368192162971421,0.36501490766353084,-0.0807500231935861,0.0,0.3208263578637095,0.0,0.2636637181332221,0.014278205925901708,0.0,0.013030716243625869,0.9102974056509193,0.19444444444444445,0.046511627906976744,3.1627906976744184,3.5833333333333335,0.19444444444444445,0.015503875968992248,0.31627906976744186,0.002761704366123093,13.22472736367504,0.7550281,3.911270256643471,Low,4,0.21682367791198887,0.005369127516778523,0.8942580121166531,11.787851851152531,Low
PRV51011,53,16630,286.7241379310345,75.0,1368.0,0.5517241379310345,73.86379310344829,6.413793103448276,2.5344827586206895,0.0,1.5689655172413792,189.9808429118774,1.0943396226415094,313.77358490566036,1,57,0.017241379310344827,0.9827586206896551,No,Medium,Mostly_Outpatient,Medium_Mostly_Outpatient,627.3380647119785,1.3366606123235987,783.2164586353032,-0.5429511549523551,-0.18128834458647503,-0.5993782032461529,-0.4316564067929249,-0.474809519228335,-0.49933127673685784,5000.0,5000.0,5.0,8.0,0.0,1.0,0.30066145520144316,11630.0,204.03508771929825,0.47368421052631576,2.43859649122807,0.0,52.0,0.6993385447985568,41,1.4146341463414633,0.7068965517241379,4,0.07547169811320754,-0.5429511549523551,-0.4316564067929249,-0.18128834458647503,-0.474809519228335,-0.5993782032461529,-0.49933127673685784,0.004123164,0,Low Risk,58,0,0,0.06637621065095695,0.29202412216755225,-0.08611191358780718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07547169811320754,0.0,2.5344827586206895,1.4146341463414633,0.07547169811320754,0.0,0.253448275862069,0.0009188409773467701,8.245970373815583,0.41231638,2.267650784419548,Low,5,0.14436965697125903,0.006711409395973154,0.7044387755781957,8.765971492795103,Low
PRV51012,31,16890,351.875,60.0,100.0,3.7083333333333335,74.0125,6.375,2.5625,0.0,1.4791666666666667,125.93653048340548,1.5483870967741935,544.8387096774194,0,48,0.0,1.0,No,Medium,Mostly_Outpatient,Medium_Mostly_Outpatient,627.3380647119785,1.3366606123235987,783.2164586353032,-0.4390982792323438,0.15839958363292966,-0.3043574306051221,-0.3490914122081983,0.41486191692177193,-0.25355473987096594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16890.0,351.875,3.7083333333333335,2.5625,0.0,31.0,1.0,24,2.0,0.5,7,0.22580645161290322,-0.4390982792323438,-0.3490914122081983,0.15839958363292966,0.41486191692177193,-0.3043574306051221,-0.25355473987096594,0.004289837,0,Low Risk,48,0,0,0.07373241794769435,0.22350427231825354,-0.07870027317114013,0.0,0.0,0.15839958363292966,0.0,0.0,0.020122830960498363,0.0,0.6707610320166121,0.22580645161290322,0.0,2.5625,2.0,0.22580645161290322,0.0,0.25625,0.001416258649293894,12.086817756554929,0.42898372,3.4038865562212925,Low,8,0.07427988068386893,0.010738255033557046,0.5208135239871602,7.805620929897648,Low
PRV51013,44,14880,323.4782608695652,90.0,230.0,1.4565217391304348,73.99347826086957,6.586956521739131,2.5434782608695654,0.0,1.565217391304348,229.54025088296186,1.0454545454545454,338.1818181818182,0,46,0.0,1.0,No,Medium,Mostly_Outpatient,Medium_Mostly_Outpatient,627.3380647119785,1.3366606123235987,783.2164586353032,-0.48436372816293316,-0.21786088718723595,-0.5682141067731454,-0.38507829769324975,-0.5705961039027951,-0.47336902452958707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14880.0,323.4782608695652,1.4565217391304348,2.5434782608695654,0.0,44.0,1.0,11,4.181818181818182,0.2391304347826087,2,0.045454545454545456,-0.48436372816293316,-0.38507829769324975,-0.21786088718723595,-0.5705961039027951,-0.5682141067731454,-0.47336902452958707,0.017109301,0,Low Risk,46,0,0,0.0741812200348531,0.20057029531424062,-0.08609830157784658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,2.5434782608695654,4.181818181818182,0.045454545454545456,0.0,0.25434782608695655,0.0032702699720059,7.576816037837698,1.7109301,2.7496690639714485,Low,4,0.04299818496224217,0.005369127516778523,0.43885992745226365,6.420750169638222,Low
PRV51014,25,10480,349.3333333333333,80.0,120.0,0.4666666666666667,70.60666666666665,6.666666666666667,3.6666666666666665,0.0,1.9666666666666666,343.24444444444447,1.2,419.2,0,30,0.0,1.0,No,Medium,Mostly_Outpatient,Medium_Mostly_Outpatient,627.3380647119785,1.3366606123235987,783.2164586353032,-0.4431497895895762,-0.10224032268447952,-0.46477120676137856,-0.3523124393428412,-0.26777605901967744,-0.38719259193244426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10480.0,349.3333333333333,0.4666666666666667,3.6666666666666665,0.0,25.0,1.0,9,3.3333333333333335,0.3,4,0.16,-0.4431497895895762,-0.3523124393428412,-0.10224032268447952,-0.26777605901967744,-0.46477120676137856,-0.38719259193244426,0.0012053611,0,Low Risk,30,0,0,0.08398954699917134,0.2152031495960195,-0.06633309409410057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,3.6666666666666665,3.3333333333333335,0.16,0.0,0.36666666666666664,0.002549265568729009,13.230398305884892,0.12053611,3.3678676321188346,Low,5,0.0676912671418356,0.006711409395973154,0.5035522929863468,7.527258460266115,Low
