Provider,FraudRiskScore,WasteRiskScore,AbuseRiskScore,OverallFWAScore,FWARiskLevel,AnomalousClaims,MaximumClaimAnomalyScore,InvestigationPriorityScore,InvestigationPriority
PRV51001,4.6323996,15.937597170215733,10.062537846761524,8.816233533754811,Low,5,0.20919205926163442,15.048234221354177,Low
PRV51003,98.17691,0.04781527180813694,19.194658887835082,53.89907374010612,Medium,67,0.20564513535774043,48.177727531175925,Medium
PRV51004,0.4469532,0.0,7.967870156054278,2.2154441426407745,Low,17,0.12450546502952486,8.531160899855305,Low
PRV51005,10.221462,1.8361890368100093,21.26323653030175,10.88558751665587,Low,96,0.14569119488631732,17.276102640487874,Low
PRV51007,4.423085,0.0,12.454367384820278,5.32513445255883,Low,6,0.12405098237140544,10.400735303715962,Low
PRV51008,0.7550281,0.9102974056509193,13.22472736367504,3.911270256643471,Low,4,0.21682367791198887,11.787851851152531,Low
PRV51011,0.41231638,0.0,8.245970373815583,2.267650784419548,Low,5,0.14436965697125903,8.765971492795103,Low
PRV51012,0.42898372,0.6707610320166121,12.086817756554929,3.4038865562212925,Low,8,0.07427988068386893,7.805620929897648,Low
PRV51013,1.7109301,0.0,7.576816037837698,2.7496690639714485,Low,4,0.04299818496224217,6.420750169638222,Low
PRV51014,0.12053611,0.0,13.230398305884892,3.3678676321188346,Low,5,0.0676912671418356,7.527258460266115,Low
PRV51015,0.052643795,0.058866044322065034,11.40517245116798,2.8923315211557075,Low,1,0.08174606188431921,7.455216277583396,Low
PRV51016,0.09250147,0.0,8.785406466232347,2.242602351036322,Low,0,-0.0034467600669522702,4.74162937548007,Low
PRV51017,1.3127768,0.0,10.984978111606429,3.4026329298867757,Low,47,0.09806590691813821,9.474883336061868,Low
PRV51021,95.448906,2.8822099449030776,13.310909008438928,51.77273271074761,Medium,50,0.22420448509520907,46.719141555299196,Medium
PRV51023,2.010039,5.121748686875994,13.2984877567837,5.610078656470038,Low,14,0.14911728653484535,11.47166288795968,Low
PRV51024,0.30747795,4.298012302039381,10.987770600647478,3.975184701196617,Low,9,0.1626846437459193,10.54845440617724,Low
PRV51025,19.180506,2.684309590183204,13.671225156631156,13.679136562985327,Low,22,0.18447789922434277,18.261166315488417,Low
PRV51026,0.7119936,0.0,12.306291626161363,3.432569694088406,Low,10,0.10042055700636032,8.564238965904453,Low
PRV51027,0.641537,0.0,10.830211097845808,3.028321279796306,Low,9,0.10553955063871645,8.388529795549948,Low
PRV51029,0.2796658,0.0,11.24752096906294,2.9517131412401536,Low,4,0.10631593411517837,8.221016054203897,Low
PRV51030,53.872253,0.12574549776455596,18.993947798402612,31.716050033026168,Medium,90,0.20404715889188862,33.225195888544334,Low
PRV51031,55.100327,5.292907647922548,13.083779490972153,32.144335053766646,Medium,36,0.22960213577880084,32.74483504514221,Low
PRV51032,0.21455258,0.0,8.281021630790015,2.17753169835264,Low,1,0.0950955391634799,7.304593731919406,Low
PRV51035,0.74350697,2.175066042567135,11.299665411448684,3.740436347514651,Low,2,0.20846949294166006,11.395709067678075,Low
PRV51036,4.645575,1.2393119693300274,18.780550494513633,7.327753139230568,Low,23,0.09882710404453865,11.598114463365482,Low
PRV51037,95.64074,2.907003864747182,22.245601416642046,54.108521040806295,Medium,60,0.2086874026680825,48.21612425795205,Medium
PRV51038,32.01295,5.475268513261788,14.372972916192625,20.968535805972003,Low,38,0.1832125032923554,23.76012441208673,Low
PRV51040,3.1320884,0.7213032872195274,14.847185858006865,5.458166497694233,Low,12,0.20449502522022855,12.762451143491486,Low
PRV51041,0.3807676,0.0,7.995014245337405,2.1891373681590354,Low,2,0.0975398534038745,7.403600897215107,Low
PRV51042,0.29060456,0.0,8.006843650421814,2.147013193389107,Low,16,0.11290481565756527,8.15249307295135,Low
PRV51043,0.16012737,0.0,8.595328721549475,2.228895866162172,Low,1,0.05297177193652558,6.2369658210865815,Low
